OID_,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Zone_Desc,Urban_Label,Shape_Length,Shape_Area,shape_wkt
1,CC,Mission Hill Neighborhood,6D,59,Business,Art59_CC,3.000000000000000,Community Commercial,ART59-SUB008-0,0.004947616838401,0.000001290806813,
2,WM,South Boston Neighborhood,4F,68,Industrial,Art68_WM,2.000000000000000,Waterfront Manufacturing,ART68-SUB009-0,0.030529179110775,0.000041863928427,
3,M-4,South Boston,4,Underlying Zoning,Industrial,ArtUnderlying Zoning_M-4,4.000000000000000,Restricted Manufacturing,ARTUZ-SUB031-0,0.011003212988399,0.000004722389088,"MULTIPOLYGON (((-71.042137964999938 42.346248247000062, -71.04545073099996 42.347945363000065, -71.04598929499997 42.347484910000048, -71.044491310999945 42.346522667000045, -71.045212620999962 42.345934179000039, -71.043680629999983 42.34492984600007, -71.042137964999938 42.346248247000062)))"
4,D St. NDA,South Boston Neighborhood,4F,68,Mixed Use,Art68_D St. NDA,2.000000000000000,Neighborhood Development Area,ART68-SUB001-0,0.017166115826329,0.000006929579950,
5,SUMMER ST. LI,South Boston Neighborhood,4F,68,Industrial,Art68_SUMMER ST. LI,3.000000000000000,Local Industrial,ART68-SUB007-0,0.010081911028861,0.000005794007307,
6,E St. LI,South Boston Neighborhood,4F,68,Industrial,Art68_E St. LI,2.000000000000000,Local Industrial,ART68-SUB002-0,0.016303443806999,0.000006144306121,
7,WC,South Boston Neighborhood,4F,68,Business,Art68_WC,2.000000000000000,Waterfront Commercial,ART68-SUB008-0,0.009092842452537,0.000003446763712,"MULTIPOLYGON (((-71.041568989999973 42.344417601000032, -71.038780395999936 42.342744903000039, -71.038697610999975 42.342907628000034, -71.03872481999997 42.34364567700004, -71.038078858999938 42.343659857000034, -71.040598790999979 42.345263241000055, -71.041425797999977 42.344539962000056, -71.041568989999973 42.344417601000032)))"
8,I-2,South Boston,4,Underlying Zoning,Industrial,ArtUnderlying Zoning_I-2,2.000000000000000,General Industrial,ARTUZ-SUB023-0,0.030497302370672,0.000033924456350,
9,First St. LI,South Boston Neighborhood,4F,68,Industrial,Art68_First St. LI,2.000000000000000,Local Industrial,ART68-SUB003-0,0.022783128313906,0.000010211692565,
10,EDA CENTRAL,South End Neighborhood,1P,64,Miscellaneous,Art64_EDA CENTRAL,4.000000000000000,Economic Development Area,ART64-SUB004-0,0.029605894576281,0.000013456541263,
11,SOUTH BOYLSTON NS-3,Fenway Neighborhood,1Q,66,Business,Art66_SOUTH BOYLSTON NS-3,5.000000000000000,Neighborhood Shopping,ART66-SUB019-0,0.003299890648634,0.000000451553696,"MULTIPOLYGON (((-71.097530952999989 42.344157554000049, -71.096282469999949 42.344500979000031, -71.096440988999973 42.344816575000038, -71.097689712999966 42.344478689000027, -71.097530952999989 42.344157554000049)))"
